accountId,name,summonerName,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,gameId
200394182,MJ,TheRoughead,3,FALSE,3072,1055,3006,3031,3046,1038,3340,8,4,6,5,2,2,980,2,0,0,0,0,148989,5577,141138,2274,758,15816,1247,13492,1076,4060,1,20796,9271,2722,19,18,21589,3789,16581,1219,12940,12850,1,0,209,7,6,1,209,16,0,0,11,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,183133619
200394182,MJ,TheRoughead,2,TRUE,3158,1055,3078,3004,3031,0,3340,5,3,8,3,2,1,947,1,0,0,0,0,86099,7625,76769,1704,858,11454,3424,7800,230,1352,1,6114,11415,2959,15,2,13012,1291,11328,392,11663,10983,1,1,113,11,2,7,223,14,0,0,11,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,182083117
200394182,MJ,TheRoughead,6,FALSE,3083,1408,3053,3117,3742,0,3340,5,11,15,2,1,1,317,0,0,0,0,0,89393,15467,64905,9020,0,13604,3505,9460,638,7956,1,41369,12660,123,52,14,51142,16562,33046,1534,12674,12625,1,0,33,34,24,2,478,15,0,0,27,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,181027541
200394182,MJ,TheRoughead,9,TRUE,2031,1408,3117,3742,1036,0,3340,6,0,9,6,1,1,1343,0,0,0,0,0,66341,9378,52900,4062,0,10180,2520,7555,104,3148,1,9660,12031,2961,21,4,14062,2827,11033,201,8436,6925,0,0,43,19,12,7,243,12,0,0,10,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180406105
200394182,MJ,TheRoughead,1,FALSE,3078,1055,3031,1038,3158,3042,3340,7,9,10,4,1,1,773,0,0,0,0,0,139078,16252,121413,1412,1023,19229,6510,12513,204,3111,3,9763,1628,992,28,0,24613,13082,11130,400,13752,12533,1,0,159,19,9,10,105,16,0,0,15,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,177636626
200394182,MJ,TheRoughead,9,TRUE,3078,1055,3042,3072,3158,0,3340,13,2,22,6,1,3,1083,0,0,0,0,0,143225,19607,120649,2968,0,35222,11046,22767,1408,3997,3,14369,13900,8412,20,8,17401,6708,10038,654,15792,11433,3,0,131,16,11,5,192,17,0,0,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,176908953
200394182,MJ,TheRoughead,1,TRUE,3025,3401,3117,0,0,0,3340,3,0,7,3,1,1,0,0,0,0,0,0,32570,12594,15073,4902,0,8400,3909,4491,0,2786,5,5291,1528,1528,3,0,8324,2176,6147,0,6226,5950,1,0,48,0,0,0,73,10,0,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,175888043
200394182,MJ,TheRoughead,4,TRUE,3078,3072,3042,3158,0,3031,3340,22,1,5,17,4,2,857,3,1,1,0,0,170538,34274,133466,2798,943,40659,12465,27359,834,2457,3,10563,11924,6282,14,0,17184,5346,11754,84,16590,14783,3,0,177,9,8,1,201,16,0,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,175631264
200394182,MJ,TheRoughead,4,FALSE,3078,1055,3158,3004,1036,0,3340,4,5,3,2,1,2,701,0,0,0,0,0,80627,17632,62995,0,0,13672,5339,8332,0,1539,2,5067,0,0,11,0,13222,6252,6258,710,8396,8033,0,0,132,1,1,0,0,12,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,175005487
200394182,MJ,TheRoughead,1,FALSE,3078,1055,3158,3004,1053,1036,3340,5,8,6,2,1,1,625,0,0,0,0,0,85198,16927,67906,365,0,14705,4619,9721,365,1007,1,8532,0,0,10,0,20217,5125,14652,440,9549,8983,0,0,134,1,1,0,0,14,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174897035
200394182,MJ,TheRoughead,9,TRUE,3031,3072,1029,3006,3046,0,3340,5,7,3,0,1,0,461,0,0,0,0,0,166700,6192,159821,686,730,16659,1273,14699,686,3058,1,18615,9783,5899,16,0,21935,10139,10933,862,13552,12000,3,1,183,25,7,18,90,15,0,0,9,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174527367
200394182,MJ,TheRoughead,3,FALSE,2031,3157,3020,1402,1052,0,3340,3,8,6,0,1,0,391,0,0,0,0,0,70952,54608,10926,5418,0,6825,5841,718,266,11972,1,396,0,333,0,0,27030,6450,20171,408,7987,7210,0,0,33,40,29,11,321,13,0,0,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,171820510
200394182,MJ,TheRoughead,8,TRUE,2010,1055,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,1992,0,1992,0,0,144,0,144,0,0,0,0,0,0,0,0,75,0,75,0,841,500,0,0,10,0,0,0,74,2,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,171533799
